,Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance,loan,score,loan_eligibility
0,100000001,Simon,Walsh,Male,21,England,White Collar,05.Jan.15,113810.15,5252.0,644.0,2276203.0
1,400000002,Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,06.Jan.15,36919.73,8907.0,697.0,0.0
2,100000003,Liam,Brown,Male,46,England,White Collar,07.Jan.15,101536.83,2162.0,617.0,2030736.6
3,300000004,Trevor,Parr,Male,32,Wales,White Collar,08.Jan.15,1421.52,7277.0,672.0,0.0
4,100000005,Deirdre,Pullman,Female,38,England,Blue Collar,09.Jan.15,35639.79,2586.0,405.0,178198.95
5,300000006,Ava,Coleman,Female,30,Wales,Blue Collar,09.Jan.15,122443.77,5433.0,483.0,0.0
6,100000007,Dorothy,Thomson,Female,34,England,Blue Collar,11.Jan.15,42879.84,2644.0,467.0,214399.19999999998
7,200000008,Lisa,Knox,Female,48,Scotland,Other,11.Jan.15,36680.17,7824.0,314.0,0.0
8,300000009,Ruth,Campbell,Female,33,Wales,White Collar,11.Jan.15,74284.35,2566.0,498.0,0.0
9,100000010,Dominic,Parr,Male,42,England,White Collar,12.Jan.15,10912.45,4327.0,625.0,218249.0
10,100000011,Dominic,Lewis,Male,40,England,White Collar,12.Jan.15,39667.83,6408.0,461.0,198339.15000000002
11,100000012,Benjamin,Grant,Male,39,England,White Collar,12.Jan.15,32281.62,3742.0,538.0,322816.2
12,100000013,Ryan,MacDonald,Male,24,England,White Collar,12.Jan.15,40781.63,6616.0,524.0,407816.3
13,200000014,Thomas,Lawrence,Male,46,Scotland,Other,12.Jan.15,48791.46,3245.0,457.0,0.0
14,300000015,Madeleine,Marshall,Female,36,Wales,Other,12.Jan.15,2846.03,6254.0,490.0,0.0
15,100000016,Nicholas,Newman,Male,42,England,White Collar,14.Jan.15,2116.85,5241.0,499.0,10584.25
16,200000017,Grace,Hill,Female,31,Scotland,Other,14.Jan.15,10356.31,6210.0,455.0,0.0
17,200000018,Samantha,Coleman,Female,42,Scotland,Other,14.Jan.15,3801.69,7008.0,555.0,0.0
18,100000019,William,Ince,Male,40,England,Blue Collar,15.Jan.15,65534.69,4781.0,438.0,327673.45
19,100000020,Audrey,Jones,Female,46,England,Blue Collar,15.Jan.15,11462.64,5119.0,593.0,114626.4
20,300000021,Boris,Johnston,Male,37,Wales,Other,16.Jan.15,31778.9,3256.0,696.0,0.0
21,200000022,Jason,Butler,Male,58,Scotland,Blue Collar,18.Jan.15,21252.97,7805.0,436.0,0.0
22,300000023,Deirdre,McDonald,Female,41,Wales,White Collar,18.Jan.15,66785.78,3922.0,424.0,0.0
